database name	url	status	statusLastUpdated	data_url	data_mimetype	manager	institution	country
Cotton (Gossypium)	http://golo.cirad.fr/CRB_T_WEB/FR/CRB_T_Collections_Coton.awp	online search only;	2017-12-08					
ECPGR Allium Database 	http://ealldb.ipk-gatersleben.de/		2017-12-08	http://gbisweb.ipk-gatersleben.de/ealldb/ealldb_access.zip	msaccess	Joachim Keller	Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)	Germany
ECPGR Annual Medicago Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/annual_medicago.html		2017-12-08	http://cicytex.gobex.es/descargas/descargar.php?id=169	excel	Valentin Maya Blanco	Centro de Investigaciones Científicas y Tecnológicas de Extremadura (CICYTEX), Instituto de Investigaciones Agrarias Finca “La Orden – Valdesequera”, Departamento de Produccion Forestal y Pastos	Spain
ECPGR Avena Database (EADB)	http://eadb.jki.bund.de	online search only;	2017-12-08			Christoph Germeier	Julius Kühn-Institute (JKI) - Federal Centre for Cultivated Plants, Institute for Breeding Research on Agricultural Crops	Germany
ECPGR Barley Database	http://ebdb.ipk-gatersleben.de/apps/ebdb/	site cannot be reached	2017-12-08			Helmut Knüpffer	Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)	Germany
ECPGR Brassica Database	http://ecpgr.cgn.wur.nl/Brasedb/		2017-12-08	http://ecpgr.cgn.wur.nl/Brasedb/download/brassica.zip	zip/excel	Noor Bas	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
ECPGR Brassica Database	http://ecpgr.cgn.wur.nl/Brasedb/		2017-12-08	http://ecpgr.cgn.wur.nl/Brasedb/download/brassica.zip	zip/excel	Frank Menting	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
ECPGR Cicer Database	http://www.iniav.pt/gca/index.php?id=1334		2017-12-08	http://www.iniav.pt/fotos/editor2/2013_cicer_data_base_iniav.xlsx	excel	Graça Mendonça Pereira	Instituto Nacional de Investigação Agrária e Veterinária (INIAV), Polo de Elvas	Portugal
ECPGR Cucurbits Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=281&lang=en		2017-12-08	https://www.comav.upv.es/images/phenotype_database/Web-TOMATE.xls		Maria José Díez Niclós	Instituto de Conservación y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politécnica de Valencia	Spain
ECPGR Cucurbits Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=281&lang=en		2017-12-08	https://www.comav.upv.es/images/phenotype_database/Web-PEPINO.xls		José Miguel Blanca Postigo	Instituto Universitario de Conservacion y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politecnica de Valencia (UPV)	Spain
ECPGR Cucurbits Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=281&lang=en		2017-12-08	https://www.comav.upv.es/images/phenotype_database/Web-BERENJENA.xls				
ECPGR Cucurbits Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=281&lang=en		2017-12-08	https://www.comav.upv.es/images/phenotype_database/Web-PIMIENTO.xls				
ECPGR Cultivated Potato Database	http://www.europotato.org/menu.php	login required	2017-12-08			Heather Campbell	Potato Section, Science and Advice for Scottish Agriculture (SASA)	United Kingdom
ECPGR Dactylis Database	https://www.google.com/fusiontables/DataSource?docid=14k3aRANVFuDN7_PFjNLDICvYXgVO5SxKe1p0NR8#rows:id=1	search with archive download	2017-12-08			Bartosz Tomaszewski	Plant Breeding and Acclimatization Institute, National Research Institute, Botanical Garden of National Centre for Plant Genetic Resources	Poland
ECPGR Eggplant Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/eggplant.html	form search only	2017-12-08			Gerard M. van der Weerden	Experimental Garden and Genebank, Radboud University Nijmegen	Netherlands
ECPGR Festuca Database	https://www.google.com/fusiontables/DataSource?docid=1Lcsf7_nAJbViL14dnp1PR4Eu9mY8EMmoC1n1kZY#chartnew:id=10	search with archive download	2017-12-08			Bartosz Tomaszewski	Plant Breeding and Acclimatization Institute, National Research Institute, Botanical Garden of National Centre for Plant Genetic Resources	Poland
ECPGR Flax Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/flax.html		2017-12-08	http://www.ecpgr.cgiar.org/fileadmin/templates/ecpgr.org/upload/GERMPLASM_DBs/Flax_db/Last_updated_IFDB_2012_01.02.12.xls	excel	Martin Pavelek	AGRITEC, výzkum, šlechtění, služby s.r.o., AGRITEC, Ltd.	Czech Republic
ECPGR Glycine Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/glycine.html	online search only; database error	2017-12-08			Margarita Vishnyakova	N.I. Vavilov Institute of Plant Industry (VIR)	Russian Federation
